date,title,description,format,recording_available
2025-10-27,Boosting Data Performance: Unlocking the Power of DuckDB in your Gold Layer,​Join MotherDuck and Artefact for a discussion about how to achieve exceptional performance for gold layer analytics using DuckDB.,Online,YES
2025-10-29,Duck-Flavored BI: Building an Efficient Data Stack,Join MotherDuck and Tasman Analytics for the antidote: a practical discussion of why companies try to overbuild and what they can do to resist the temptation.,Online,YES
2025-10-31,"Lies, Damn Lies, and Benchmarks","Join us for a livestream with MotherDuck CEO, Jordan Tigani, talking about DuckDB performance and the validity of various benchmarking techniques",Online,YES
2025-11-04,Small Data SF: Workshop Day!,"Make your big data feel small, and your small data feel valuable. Join leading data and AI innovators on November 4th and 5th in San Francisco!",In Person,NO
2025-11-05,Small Data SF: Keynotes and Sessions,"Make your big data feel small, and your small data feel valuable. Join leading data and AI innovators on November 4th and 5th in San Francisco!",In Person,YES
2025-11-08,Data in the D Conference 2025,New conference to bring together the data community in Detroit! MotherDuck is sponsoring and Alex Monahan will be speaking.,In Person,NO
2025-11-13,​​Empowering Data Teams: Smarter AI Workflows with Hex + MotherDuck,"Join Hex + Motherduck for a practical look at how modern data teams are designing AI workflows that prioritize context, iteration, and real-world impact.",Online,YES
2025-11-17,AI By the Bay,"A 3-day gathering for builders, practitioners & innovators shaping full-stack AI—featuring advanced tech sessions and insights from the forefront of AI and data. MotherDuck is proud to share that our co-founder Ryan Boyd will be delivering the keynote!",In Person,NO
2025-11-20,PyData Belgium November 2025,The second iteration of the rebooted PyData Belgium meetup. With 3 super interesting data talks lined up (as well as food and drinks 🍕 🤝 🍺 ),In Person,NO
2025-11-20,Data-based: Going Beyond the Dataframe,"Learn how to turbocharge your data science workflow: Go from query to insight in seconds, not hours.",Online,YES
2025-11-24,DuckLake talk at Forward Data Conference,Scaling beyond Postgres with DuckLake: a minimalist lakehouse alternative. Live demoRetryJ,In Person,NO
2025-11-25,NL dbt meetup: 14th Edition,"Data talks on dbt, DuckLake, AI, and freelancing. Pizza and drinks at MotherDuck Amsterdam",In Person,NO
2025-12-02,AWS re:Invent Cocktail Reception,"Join Supabase, Tines, Motherduck, Semgrep, and Felicis for a relaxed evening of cocktails and conversation during AWS re:Invent just steps from the center of AWS re:Invent.",In Person,NO
2025-12-03,Hands-on Lab: Agentic Data Engineering with MotherDuck,Join Ascend.io for a hands-on lab. Learn to build data pipelines on MotherDuck using AI agents to automate engineering workflows and operations.,Online,NO
2025-12-11,Getting Started with MotherDuck,​Looking to get started with MotherDuck and DuckDB? Join us for a live session to learn how MotherDuck makes big data feel small. ​​​​​​,Online,NO
2025-12-17,Workshop: Build a Serverless Lakehouse with DuckLake,"Hands-on workshop where you build a serverless lakehouse from scratch using DuckLake. Covers setting up DuckLake on MotherDuck, ingesting data, running analytical queries, and understanding how DuckLake handles metadata and storage differently from traditional lakehouse formats like Iceberg and Delta Lake. You write the queries and follow along — not a demo you watch.",Online,YES
2026-01-13,The MCP Sessions - Vol 1: Sports Analytics,"The first MCP Sessions — a live format where two people explore a dataset using the MotherDuck MCP server with no slides or prep. Volume 1 focuses on sports data: player stats, team comparisons, historical trends, and whatever questions come up in the moment. Natural language queries go in, SQL runs on MotherDuck, and the conversation follows wherever the data leads.",Online,YES
2026-01-15,AI Agents for Business Analytics,"Text-to-SQL benchmarks top out around 78% accuracy — not good enough when business decisions depend on the answer. Ryan Boyd walks through what it takes to close that gap and make LLM-powered analytics actually reliable. Covers the failure modes that trip up AI agents on real business data, the metadata and schema patterns that improve accuracy, and how MotherDuck approaches the problem differently.",Online,YES
2026-01-20,The MCP Sessions - Vol 2: Supply Chain Analytics,"The second MCP Sessions — same unscripted format, different dataset. This time we dig into supply chain data using the MotherDuck MCP server: inventory levels, shipping timelines, supplier performance, and bottleneck analysis. Two people, natural language queries, real data, and a running conversation about what the numbers actually tell you. No slides.",Online,YES
2026-01-24,Data Day Texas,"Two-day community data conference in Austin. MotherDuck sponsors the database track, and DuckDB co-creator Hannes Muhleisen runs an open AMA. Sessions range from Bill Inmon on data architecture to hands-on workshops on data contracts, BAML for AI agents, and knowledge graphs. Other talks cover AI-ready data with semantic layers, solopreneur data businesses, and why finance kills AI projects. About 15 sponsors and a broad mix of data engineering, analytics, and AI content.",In Person,NO
2026-01-27,The MCP Sessions - Vol 3: Clickstream Analytics,"The third installment of The MCP Sessions — a live, unscripted format where two people query a dataset using the MotherDuck MCP server and talk through what they find. This volume focuses on clickstream data: page views, session paths, conversion funnels, and user behavior patterns. No slides, no prep — just SQL queries run through natural language against real data, with commentary on what the results mean.",Online,NO
2026-01-29,Meetup: MotherDuck ❤️ dltHub ❤️ Marimo,"An afternoon meetup in Amsterdam with the teams behind MotherDuck, dltHub, and Marimo. Live demos show how these three tools connect in practice: dltHub for Python-native data ingestion pipelines, MotherDuck for serverless DuckDB analytics in the cloud, and Marimo for reactive Python notebooks. Early users share how they've wired the stack together, followed by open discussion on where the ecosystem is headed.",In Person,NO
2026-01-29,Let Your AI Agents Cook: Preparing Your Warehouse for AI,"Most data warehouses aren't set up with AI agents in mind. This webinar covers what it actually takes to prepare your warehouse so LLMs and AI agents can query it reliably — from metadata enrichment and column naming conventions to access patterns that work with text-to-SQL. Practical steps you can take now, not a roadmap pitch.",Online,YES
2026-01-30,DuckDB Developer Meeting #1,"The first DuckDB Developer Meeting, held in Amsterdam, brings together engineers building DuckDB extensions and complex applications on top of DuckDB. Talks cover extension development, internal architecture, and real-world use cases from people working directly on or deeply integrated with the DuckDB codebase. Organized by DuckDB Labs with MotherDuck participation.",In Person,NO
2026-01-30,HalfStack,"Alex Monahan from MotherDuck presents at HalfStack Phoenix on rendering data visualizations at 200 FPS using open source libraries — slicing through millions of rows in the browser in about 5 milliseconds. HalfStack is a 200-person web and JavaScript conference at the Majestic Theater in Gilbert, AZ, with sessions on accessibility, AI-driven UIs, NFC hardware hacking, and in-browser data processing. No vendor pitches.",In Person,NO
2026-02-17,"Streams, Queries & Quacks: A Data Meetup with Estuary & MotherDuck","We'll walk through turning Slack conversations into a queryable knowledge base using real-time data pipelines. Jonathan Wihl from Estuary will show how streaming data flows into MotherDuck without batch processing, and Jacob Matson from MotherDuck will cover metadata enrichment techniques that improve text-to-SQL accuracy — going beyond traditional foreign keys to surface hidden relationships in your data. Expect working demos, not slides.",In Person,NO
2026-02-19,SF Apache DataFusion Meetup,"Five talks on Apache DataFusion and what's happening around it in data infrastructure. Xiangpeng Hao from UW-Madison covers pushdown caching with LiquidCache. Bev Turnbaugh from MotherDuck presents DuckLake and what a next-generation lakehouse looks like. Zac Farrell from Hotdata pairs DataFusion with DuckLake, LakeSail's Shehab Amin demos native Iceberg and Delta Lake support, and Embucket's founders walk through DataFusion infrastructure internals. Hosted at Chroma in SF with food and networking from 5:30.",In Person,NO
2026-02-25,From Ad Hoc Questions to Real-Time Answers,"Data teams field the same questions over and over — ""what were last month's numbers,"" ""break this down by region,"" ""compare Q3 to Q4."" We built Dives to fix that. Ask your AI agent a question, get an interactive visualization backed by live data, and save it to your workspace. Same question next week? The answer's already there. Join us to see how it works.",Online,YES
2026-02-26,Zed x MotherDuck x Boundary Meetup: Annoying Stuff AI Gets Wrong (and some stuff it gets right),"Three talks on what AI actually gets wrong in practice. Vaibhav Gupta from BAML argues that Python and TypeScript weren't designed for the agent world and shows what he'd do differently. Jacob Matson from MotherDuck makes the case that your agent should write SQL so you don't have to. Mikayla Maki from Zed covers programming with agents from inside the editor. Talks start at 6:30, followed by open networking with speakers and other builders. At Boundary's space in downtown Seattle.",In Person,NO
2026-03-06,DataTune,"Two-day technical conference at Belmont University in Nashville, built by the data community for roughly 500 attendees. Tracks cover AI and data science (LLMs, RAG, model eval), modern data engineering (pipelines, streaming, platform design), analytics storytelling (dashboards, BI, business impact), and careers/leadership. Stop by the MotherDuck expo table and catch Jacob Matson's session on multiplying data engineering throughput with MotherDuck and AI — ""Clone, Code, Ship.""",In Person,NO
2026-03-06,MotherDuck Meet & Mingle in Nashville,"The flock flies through Nashville! Join MotherDuck for an invite-only evening of drinks, bites & conversation at Puttshack during DataTune. Connect with speakers, engineers, and data leaders over cocktails and tech-infused mini golf.",In Person,NO
2026-03-08,Seattle x SheBuilds on Lovable for International Women's Day,"Build & ship a real app with AI using Lovable — no coding needed. Led by Ros Bernstein & Sally Revell. Perks: free Lovable access, $100 Claude API tokens, $250 Stripe credits. Open to all — bring a laptop, your best ideas & curiosity!",In Person,NO
2026-03-10,PyAI Conference 2026,MotherDuck's Till Döhmen speaks on Context Engineering for MCP Servers at this one-day Python AI conference for builders shipping AI to production.,In Person,NO
2026-03-11,Building an AI Chatbot for your SaaS app in 1 day,"This webinar walks through building a conversational AI layer for a SaaS product using the MotherDuck MCP server. We'll cover the full loop: connecting an LLM to live user data with read-only scoped access, building a streaming chat backend that handles sequential tool calls, adding custom visualization tools inside the conversation, and isolating customer data with MotherDuck's hypertenancy architecture. You'll leave with a reusable pattern you can drop into your own product.",Online,YES
2026-03-17,"Agents That Build Tables, Not Just Query Them","A livestream on how the new query_rw tool in the MotherDuck MCP server gives agents write access to your warehouse, so they can save derived tables and intermediate results.",Online,YES
2026-03-26,MotherDuck + DuckDB Meetup,"Join the Inaugural SF meetup for DuckDB & MotherDuck users. Featuring Till Döhmen & Jacob Matson talking about SQL evals & what AI means for infra providers, plus special guests sharing real stories of using DuckDB at scale.",In Person,NO
2026-03-26,Beyond Charts: Building Interactive Data Apps with MotherDuck Dives,"Dives look like visualizations, but they're actually full React apps - built entirely through conversation with an AI agent. Alex Monahan shows how to build Dives with drill downs, crossfiltering, slicers, animations, and custom interactivity.",Online,YES
2026-04-01,Seattle (AI) Startups Summit,"Two-day AI startup conference in Seattle. Jordan Tigani (CEO) and Jacob Matson from MotherDuck are both speaking. Jacob's workshop covers building evals on OpenRouter for LLM apps. Covers AI product development, infrastructure, and go-to-market.",In Person,NO
2026-04-02,MCP Dev Summit North America,"The premier gathering for builders advancing AI with Model Context Protocol. MotherDuck's Till Döhmen speaks on ""Reflections on Context Engineering via MCP Servers.""",In Person,NO
2026-04-02,Sneak Peek: DuckLake - The Definitive Guide,"​Matt Martin and MotherDuck's Alex Monahan - coauthors of the upcoming O'Reilly book DuckLake: The Definitive Guide - sit down for a live conversation about how it works, what it simplifies, and who should care.",Online,YES
2026-04-07,What's New in DuckDB 1.5,"Alex and Jacob walk through the biggest changes in DuckDB 1.5, demo key features, and take questions live.",Online,YES
2026-04-09,Zero-Latency Analytics in Your Application with Dives,"BI tools were never built to be app interfaces. In this livestream, learn how to build a Dive and embed it directly in your app — with help from your favorite agents.",Online,YES
2026-04-10,Data Day with datajoi #AZTechWeek,"AI, data, and vibe coding for startups. Alex Monahan (MotherDuck) on AI agents + data warehouses. Jack Toumey (Votee) on building apps with Claude Code. Part of #AZTechWeek.",In Person,NO
2026-04-10,Data After Dark #AZTechWeek,"A lecture series meets happy hour — grab a drink, enjoy local eats, and join a high-level conversation with the city's brightest minds. Part of #AZTechWeek.",In Person,NO
2026-04-14,"SQL is Dead, Long Live SQL: Engineering a Reliable Analytics Agent from Scratch","Mehdi Ouazza and Dumky de Wilde lead this hands-on workshop pushing Text-to-SQL to its limits. Build a local data agent from scratch using DuckDB & MCP, and learn why SQL is still the most critical skill for reliable analytics agents.",In Person,NO
2026-04-14,Agentic Retrieval SF Meetup,"MotherDuck's Till Döhmen joins a panel on agents, retrieval, and infrastructure at this HORNET.dev meetup. Plus: Lester Solbakken on retrieval failure modes in agent systems. Doors at 5pm, talks at 6pm.",In Person,NO
2026-04-14,AI Agents Summit,"Join MotherDuck and 300+ engineers at the AI Agents Summit hosted by Seattle MLOps Community. Expect talks, workshops, builders booths, and networking at Seattle's iconic Museum of Flight.",In Person,NO
2026-04-21,MotherDuck Now Speaks Postgres: Fast Analytics Without Changing Your Stack,"MotherDuck's new Postgres wire protocol endpoint lets any Postgres-compatible client, driver, or BI tool query your data warehouse directly - no DuckDB library required.",Online,YES
2026-04-23,A Practical Guide to Context Management for Data Agents,"​Data agents let you query your data warehouse in plain English, but to get answers that are truly accurate for your business, your agents need to know more than SQL. It needs to know your definitions, your business logic, and the meaning behind your data. That's context, and getting it right is the key to consistent, fast agentic analysis.​Join us for a livestream with Virgil Data on how to unlock the full potential of data agents through context management.​Using real benchmark data and practical examples, we'll talk through the trade-offs of common approaches to formatting context and give you a framework for writing effective context. Then we'll walk through context considerations you should be thinking about as your team grows, from solo analyst to team to full organization.",Online,YES
2026-04-28,The DuckLake Lakehouse: From Getting Started to Going Fast,"Learn why DuckLake is such a compelling lakehouse choice, then roll up your sleeves for the settings and tuning strategies that separate a good DuckLake deployment from a great one.",Online,YES
2026-04-30,High-Performance Data Workflows with Python and DuckDB [PyData x MotherDuck],"Build high-performance data workflows with Python and DuckDB. Work with large datasets locally and scale seamlessly to the cloud with MotherDuck -- featuring real-world talks on fast, local-first analytics.",In Person,NO
2026-04-30,DuckDB + MotherDuck Meetup,"Round 2 of the SF DuckDB + MotherDuck meetup! Talks on Building OpenDuck (distributed DuckDB) and DuckLake 1.0. Food, drinks, and duck swag provided.",In Person,NO
2026-04-30,PyData Amsterdam Meetup: Agents in the Data-verse,"MotherDuck's Adithya Krishnan speaks at PyData Amsterdam Meetup in Utrecht! Topic: building the infrastructure that lets agents query, reason, and respond at scale for self-serve analytics.",In Person,NO
2026-05-07,How Marketers and AEs Are Actually Using AI on Their Own Data,Ryan Boyd and Logan Toskey show how they use the MotherDuck MCP with Claude to ask plain-English questions of their data and turn each answer into a Dive. Two live demos plus Q&A.,Online,YES
2026-05-12,AI Council,"Three-day conference at the SF Marriott Marquis with 50+ speakers from companies like Anthropic, OpenAI, Perplexity, Databricks, Replit, and DuckDB Labs. Tracks include inference systems, AI engineering, agent infrastructure, coding agents, model systems, data engineering and databases, and AI security. The format goes beyond standard talks — engineering office hours let you discuss architecture problems directly with speakers, and hands-on workshops are led by the people who maintain the systems. MotherDuck will be there.",In Person,NO
2026-05-12,Building a Data Product on MotherDuck: PriceMedic's Path from Raw Data to Revenue,"PriceMedic replaced AWS (Athena, Redshift, SPICE) with MotherDuck, saving ~$20K/month and cutting query times 14x. Co-founder Josh Nakka walks through the hypertenancy architecture and how MCP + Dives became their customer interface.",Online,YES
2026-05-13,Ship It: Dinner & Drinks on a Boat,"No watered-down cocktails here. Let's float and chat data & AI. Join us, and our friends at Theory Ventures and LanceDB for a private evening on the water during AI Council week!",In Person,NO
2026-05-14,DET NYC #2 Meetup,"Data Engineer Things NYC meetup at Capital One's NYC office. Featuring MotherDuck's Mike Xu on best practices for data engineers to increase model accuracy for tasks against SQL databases. Light bites, networking, and talks from industry experts.",In Person,NO
2026-05-19,Agentic Data Engineering: Building Pipelines End-to-End with AI,"Hugo Lu (Orchestra) and Jacob Matson (MotherDuck) live-demo an AI agent that builds a data pipeline from scratch: orchestration in Orchestra, processing in MotherDuck, visual output through Dives, all wired together with MCP.",Online,YES
2026-05-21,MotherDuck + DuckDB May Meetup,"DuckDB and MotherDuck users, we're back for May. Come hang, hear what people are building, and grab a drink. Co-hosted with Greybeam. Talks, food, drinks, and merch!",In Person,NO
2026-05-26,Data Engineering Is AI Engineering,Jacob Matson ran 460 controlled experiments on real business questions. Well-modeled schemas with clear naming beat RAG pipelines and complex agent architectures. The most important AI skill might be one data engineers already have.,Online,YES
2026-05-27,"Analytics Engineering Meetup: AI, Data Mesh & Real-World Analytics","Co-hosted with Xebia in Amsterdam. Featuring Dumky de Wilde (MotherDuck) on AI workflows, plus talks on data mesh in practice and BI tool selection. Come for the talks, stay for the pizza.",In Person,NO
2026-05-28,How Top E-Commerce Data Teams Drive Revenue with LLMs,"Live demo: go from a plain-language business question to a published, interactive analysis on real e-commerce data in minutes. Learn where this fits in your stack and how to pick the right first use case. Co-presented with Silver Creek Insights.",Online,YES
2026-06-01,The Dive — MotherDuck at Snowflake Summit 2026,"MotherDuck's home base during Snowflake Summit. Free coffee, workshops, panels & a party. No Summit badge needed. June 1–3 at the Contemporary Jewish Museum, SF.",In Person,NO
2026-06-02,Agentic Analytics in the Wild: How AI Agents Actually Query Your Data,"Go hands-on with the MotherDuck MCP server and see what happens when AI agents query, explore, and build artifacts like Dives directly from a conversation. Live demo + practical discussion on where agentic analytics delivers real value today.",Online,NO
2026-06-02,NL dbt meetup: 16th Edition,Dumky de Wilde (MotherDuck) presents 'Modern dbt & LLM workflows on MotherDuck with practical demo' at the 16th NL dbt meetup. Also featuring talks from Databao/JetBrains and Xebia. Hosted at JetBrains Amsterdam.,In Person,NO
2026-06-03,MotherDuck + DuckDB June Meetup,"Special edition meetup at The Dive! Featuring Hoyt Emerson on Agents & ETL with DuckLake, and Alex Monahan on contributing C++ to DuckDB with AI. All skill levels welcome.",In Person,NO
2026-06-09,Is Your Postgres Slow at Answering Analytics Questions?,"Postgres ships the product, then absorbs the dashboards — then stops keeping up. Mehdi Ouazza shows how to graduate analytics off Postgres without standing up a data warehouse: architecture, decision points, and a live Postgres-to-dashboard demo.",Online,YES
2026-06-15,Real-Time Lakehouse & Agentic AI,"Join RisingWave, MotherDuck & Lenses for an evening on real-time data, lakehouses & agentic AI. Featuring Bev Turnbaugh (MotherDuck), Rayees Pasha (RisingWave) & Tun Shwe (Lenses).",In Person,NO
2026-06-17,Spritz Caf(AI) Happy Hour at Databricks Data + AI Summit,"Monte Carlo's after-hours happy hour at Data + AI Summit. For CDAOs, data engineers & AI practitioners — cocktails, small plates, real conversations. MotherDuck is a proud sponsor.",In Person,NO
2026-06-17,"Blood, Sugar, Hex, Magic Wednesday",Join the MotherDuck team at Club Hex's happy hour. Expect a curated lineup of surprises including a live tattoo artist on-site. Come with an open mind. Leave with a story.,In Person,NO
2026-06-17,Introducing Flights: Agent-Native Data Pipelines in MotherDuck,"See how Flights lets you build, deploy, and schedule Python data pipelines designed to be driven by AI agents like Claude and Cursor — live demo included.",Online,YES
2026-06-19,Build Beautiful Data Apps & Win a Mac Mini: Inside the DiveMaxxing Hackathon,"Live webinar with Mehdi Ouazza: ship a winning DiveMaxxing entry before the June 22 deadline. Covers what a Dive is, hackathon standings, and the data viz best practices that separate good entries from winners.",Online,NO
2026-06-23,From Source to Dashboard: Real Pipelines with Flights,"Jacob Matson builds a real production pipeline live: ingest, enrich, transform, and schedule with Flights, then wire it into a Dive dashboard. One agent, raw data to live answer.",Online,YES
2026-06-24,DuckCon #7,"The official DuckDB community conference returns to Amsterdam. Join DuckDB's creators and community for talks, lightning sessions, and networking — capped off with drinks and snacks.",In Person,NO
2026-06-24,Amazon AI Working Sessions hosted by Reason Automation,Jacob Matson (MotherDuck) speaks on Building Deterministic Reports with AI. Hear tangible ways to speed up your Amazon business with LLMs + your data. More info: https://www.reasonautomation.com/events/amazon-ai-sessions,Online,NO
2026-06-24,What Makes a Great Data Viz? DiveMaxxing Winners Revealed,"The DiveMaxxing judges have made their picks. Hamilton Ulmer, Brittany Rosenau, and Zack Mazzoncini reveal the Best Overall and Most Creative winners — and debate what actually makes a visualization work.",Online,YES
2026-07-09,WeAreDevelopers World Congress,The world's largest gathering of developers. MotherDuck is a sponsor at Booth A_07. Catch CEO Jordan Tigani on the Data & Databases stage: '3 Ways to Rebuild the Data Stack for Agents.',In Person,NO
2026-07-09,The Database Inside Your Lakehouse: A DuckLake Architecture Deep Dive,"Alex Monahan goes inside DuckLake's architecture: how the catalog, storage, and compute layers are designed, why separating them is deliberate, and what it means for reads, writes, and query planning. Based on Chapter 3 of DuckLake: The Definitive Guide.",Online,YES
2026-07-15,Streaming Made Easy: Practical Postgres CDC with Streamkap + MotherDuck,"Jacob Matson (MotherDuck) and Paul Dudley (Streamkap) talk through the real tradeoffs of Postgres CDC: when you need it, when you don't, and what tends to break. Includes a live Postgres-to-MotherDuck pipeline demo built with Streamkap.",Online,YES
2026-07-17,MotherDuck Builder Office Hours - July 17,Drop in anytime and get help from a MotherDuck expert with any question or problem — plus meet other builders working on similar challenges.,Online,NO
2026-07-21,MotherDuck Builder Office Hours - July 21,Drop in anytime and get help from a MotherDuck expert with any question or problem — plus meet other builders working on similar challenges.,Online,NO
2026-07-22,MotherDuck + DuckDB July Meetup,"Evening of MotherDuck + DuckDB talks featuring Bev Turnbaugh (MotherDuck) on making agents business-aware, and Jim Castillo (Fixlane) on trustworthy NL-to-SQL. Networking & refreshments included.",In Person,NO
2026-07-22,Writing robust data pipelines with AI,AI writes data pipelines in seconds — but a pipeline that runs green and one that returns the right numbers are very different things. Mehdi Ouazza shares the practical habits that turn a lucky one-shot prompt into a pipeline you can rely on.,Online,YES
2026-07-29,BI Is Having a Midlife Crisis,"BI costs are high, value is low, and execs are asking why it can't all be replaced with a few prompts. So can it? Jacob Matson interviews Ryan Dolley, author and independent BI analyst, on the state of the BI market and AI's impact on reporting.",Online,YES
2026-07-31,MotherDuck Builder Office Hours - July 31,Drop in anytime and get help from a MotherDuck expert with any question or problem — plus meet other builders working on similar challenges.,Online,NO
2026-08-04,Ai4 2026,America's largest AI conference. MotherDuck is a sponsor -- catch CEO Jordan Tigani on the Data Engineering panel: 'Building the Modern Data Stack for AI: What's Working and What's Not.',In Person,NO
2026-08-04,Let Your Agent Try MotherDuck,"A live, agent-led intro to MotherDuck. Watch an AI agent create a free account, work with data, build a pipeline, and produce an interactive visualization, then look under the hood at how it works. No warehouse setup, no dashboard clicking.",Online,NO
2026-08-12,Trust the Agents You Build on Your Data,"An agent writing SQL on your data can run cleanly and still be wrong. Braintrust and MotherDuck show how to connect an agent to your data, give it the right context, then evaluate it in production and catch regressions before they ship.",Online,YES
2026-08-13,Introducing Guides: Warehouse-Native Context for AI Agents,"Point an AI agent at a warehouse and it guesses at joins, then returns confident wrong answers. Guides are a context layer inside the warehouse itself, versioned and queryable. On DABStep they raised a small model's accuracy 72 points and cut costs 55%.",Online,YES
2026-08-18,Beyond Copilots: We're Building a Data Stack Live with AI Agents,"You've seen a hundred demos of AI writing SQL. The query was never the hard part. dltHub, MotherDuck, and Lightdash build the whole stack live in under an hour: one schema travels from AI-generated ingestion to dbt models and a governed semantic layer.",Online,YES
2026-08-19,Python talk night at MotherDuck,"Join PuPPy (Puget Sound Programming Python) for talks at MotherDuck's Seattle office, including a session on graph neural networks, a lightning talk, networking, and Mexican food and drinks on us.",In Person,NO
2026-08-26,Do AI Agents Need a Semantic Layer?,Half the industry says AI agents are useless without a semantic layer. The other half ships agents that run fine on a pile of markdown files. Jacob Matson and Alex Monahan ran the evals and share what plain-text context vs a Malloy semantic layer showed.,Online,YES
2026-08-27,"Data, Drinks, & Dives","At the end of every month we're inviting the NYC data community for a drink at a different dive. No agenda, no pressure to network, just making data fun again. First up: the upstairs lounge at Whiskey Roxx, drinks on MotherDuck until 7:30pm.",In Person,NO
2026-08-27,MotherDuck + DuckDB August Meetup,"Data talks, duck drops, and good company at our SF August meetup. Featured talks: zero-conversion observability with Arrow, DuckDB, and DazzleDuck (Gagan Taneja) and scientific computing on multi-dimensional arrays with XQL (Alex Merose, Open Athena).",In Person,NO
2026-09-03,MotherDuck Builder Office Hours - September 3,"Drop in anytime during this session, and get a hand from a MotherDuck expert with any sticky question, problem, or musing on your mind. Meet other builders on MotherDuck and hear how they're solving similar challenges.",Online,NO
2026-09-03,Time Travel & Schema Evolution: DuckLake Handles Change,"Schemas drift, bad loads slip in, and someone always needs last Tuesday's numbers. Alex Monahan, co-author of DuckLake: The Definitive Guide, joins Hoyt Emerson (Early Signal) to walk through time travel, schema evolution, and the change feed live.",Online,YES
2026-09-10,MotherDuck Builder Office Hours - September 10,"Drop in anytime during this session, and get a hand from a MotherDuck expert with any sticky question, problem, or musing on your mind. Meet other builders on MotherDuck and hear how they're solving similar challenges.",Online,NO
2026-09-10,Data takes Flight: Transforming data with Spark and MotherDuck via Iceberg,"Storage and compute have split apart. With Iceberg catalogs widely adopted, you can pick the best engine for each job. Colin Rogers and Jacob Matson build a real multi-engine pipeline: Spark ingests, Iceberg stores, dbt Core and MotherDuck transform.",Online,YES
2026-09-15,dbt Summit,"The world's largest gathering of dbt users — 2,200+ data leaders, decision makers, and industry executives shaping the future of analytics and AI. MotherDuck is sponsoring again, so hope to catch you in Las Vegas!",In Person,NO
2026-09-16,"MotherDuck CLI: query, pipelines, dashboards for your agents and CI","One install to query data, publish Python pipelines, and host dashboards from the terminal. Mehdi Ouazza hands Claude Code a one-line prompt and builds the whole thing live on a 3.87M row Hacker News dataset, then covers when to pick the CLI vs the MCP.",Online,NO
2026-09-17,Agents in Prod - Amsterdam,"Evening meetup with GlassFlow and MotherDuck on building production-grade AI agents. Live demos, technical talks, food and drinks.",In Person,NO
2026-09-17,MotherDuck Builder Office Hours - September 17,"Drop in anytime during this session, and get a hand from a MotherDuck expert with any sticky question, problem, or musing on your mind. Meet other builders on MotherDuck and hear how they're solving similar challenges.",Online,NO
2026-09-23,Big Data London,"The UK's largest data, analytics, and AI conference at Olympia London — two days, 400+ sessions, and exhibitors ranging from Snowflake and Databricks to early-stage startups. Speaker roster includes engineers from Google, AWS, TikTok, and Spotify. Come find us at booth P60. The co-located Data Driven LDN conference runs alongside it for senior practitioners focused on AI agents, AI governance, and data products.",In Person,NO
2026-09-23,"Duck In, Duck Out: London Edition","Let loose, London — MotherDuck's back for another good time on Night 1 of Big Data London, with beers, bites, and beats from our favorite DJ, Joe Reis!",In Person,NO
2026-09-24,MotherDuck Builder Office Hours - September 24,"Drop in anytime during this session, and get a hand from a MotherDuck expert with any sticky question, problem, or musing on your mind. Meet other builders on MotherDuck and hear how they're solving similar challenges.",Online,NO
2026-10-01,Virtual Workshop: Build a Data Agent in 60 Minutes,"LLMs writing SQL is old news. The real challenge is the infrastructure around them. Jacob Matson builds a working data agent from scratch in 60 minutes: MCP tools, a 30-line agent loop, a solid system prompt, read-only guardrails, and telemetry.",Online,NO
2026-10-05,"Ship, Scale, Sail - #SFTechWeek","MotherDuck, Modal, and Braintrust host a small crew of AI and data builders for an evening cruise. Dinner, drinks, and a relaxed evening on the Bay. Shipping. Scaling. Now let's get Sailing.",In Person,NO
2026-10-10,Data Weekend ATX 2026,"A curated weekend of presentations, workshops, and salons from Global Data Geeks. Featuring Ryan Boyd and data community leaders. The party masquerading as a data conference.",In Person,NO
2026-10-13,Data Decoded MCR,"A data conference uniting leaders and practitioners across data engineering, analytics, AI, and governance in the North of England.",In Person,NO
2026-10-16,Data in the D Conference 2026,"A two-day gathering of data professionals featuring workshops, hackathons, and sessions focused on real-world data impact and community building in Detroit. MotherDuck is a Bronze Sponsor.",In Person,NO
2026-10-26,Helsinki Data Week 2026,"Finland's biggest data event returns for its third year, Oct 26-30. MotherDuck is a partner. Full-day main event with 2 tracks, 8-10 world-class speakers, plus partner events all week.",In Person,NO
2026-11-05,Data Outpost 2026,"Editorial AI + data conference for builders at the forefront of AI + data. Two days on memory, agents, trust, interfaces, and data that can act. Small-format, high-context.",In Person,NO
2026-11-16,Forward Data Conference 2026,"France's premier Data & AI conference bringing together engineers, practitioners, and leaders for talks on AI engineering, AI strategy, data governance, and analytics engineering.",In Person,NO
